S.N.,Broker No.,Broker Name,Buy Amount (Rs.),Sell Amount (Rs.),Total Amount (Rs.),Matching Amount (Rs.),Date
42,1,Kumari Securities Pvt. Limited,"24,378,446.50","15,835,728.30","40,214,174.80","346,740.00",10/2/2016
46,10,Pragyan Securities Pvt. Limited,"18,661,598.20","9,508,667.24","28,170,265.44",0,10/2/2016
49,11,Malla & Malla Stock Broking Company Pvt. Limited,"18,480,619.10","7,885,587.80","26,366,206.90","115,834.00",10/2/2016
29,13,Thrive Brokerage House Pvt. Limited,"38,356,729.26","29,688,096.50","68,044,825.76","2,601,788.00",10/2/2016
16,14,Nepal Stock House Pvt. Limited,"46,131,412.70","54,676,781.70","100,808,194.40","1,333,380.80",10/2/2016
32,16,Primo Securities Pvt. Limited,"41,734,312.66","22,612,068.80","64,346,381.46","484,791.40",10/2/2016
9,17,ABC Securities Pvt. Limited,"74,547,896.50","54,596,320.50","129,144,217.00","2,675,826.00",10/2/2016
48,18,Sagarmatha Securities Pvt. Limited,"15,311,345.00","11,405,530.90","26,716,875.90","48,361.60",10/2/2016
26,19,Nepal Investment & Securities Trading Pvt. Limited,"40,821,835.70","33,850,405.70","74,672,241.40","1,015,270.00",10/2/2016
50,20,Sipla Securities Pvt. Limited,"8,994,029.70","6,167,148.50","15,161,178.20","86,600.00",10/2/2016
30,21,Midas Stock Broking Company Pvt. Limited,"32,659,024.12","33,283,532.28","65,942,556.40","1,253,167.24",10/2/2016
36,22,Siprabi Securities Pvt. Limited,"33,150,905.50","22,516,537.30","55,667,442.80","383,202.00",10/2/2016
23,25,Sweta Securities Pvt. Limited,"40,321,289.13","42,018,607.95","82,339,897.08","2,259,613.60",10/2/2016
31,26,Asian Securities Pvt. Limited,"28,425,462.50","36,443,939.40","64,869,401.90","1,188,272.00",10/2/2016
11,28,Shree Krishna Securities Limited,"76,882,828.30","49,127,472.90","126,010,301.20","5,531,596.40",10/2/2016
14,29,Trishul Securities And Investment Limited,"39,350,358.30","66,182,083.45","105,532,441.75","404,307.20",10/2/2016
47,3,Arun Securities Pvt. Limited,"13,354,611.30","13,888,971.50","27,243,582.80","456,130.40",10/2/2016
20,32,Premier Securites Company Limited,"46,664,816.00","39,179,161.10","85,843,977.10","1,407,802.40",10/2/2016
7,33,Dakshinkali Investment Securities Pvt.Limited,"50,015,452.00","86,149,571.30","136,165,023.30","10,480,989.00",10/2/2016
5,34,Vision Securities Pvt.Limited,"106,797,811.40","92,885,180.50","199,682,991.90","8,223,247.40",10/2/2016
12,35,Kohinoor Investment and Securities Pvt.Ltd,"68,956,040.30","54,371,664.30","123,327,704.60","3,328,248.80",10/2/2016
21,36,Secured Securities Limited,"36,356,587.90","48,215,133.20","84,571,721.10","3,526,365.20",10/2/2016
37,37,Swarnalaxmi Securities Pvt.Limited,"17,169,701.60","32,360,241.00","49,529,942.60","533,394.00",10/2/2016
8,38,Dipshika Dhitopatra Karobar Co. Pvt.Limited,"60,231,423.20","71,267,697.00","131,499,120.20","3,880,620.00",10/2/2016
19,39,Sumeru Securities Pvt.Limited,"47,742,492.05","41,968,978.70","89,711,470.75","1,042,524.00",10/2/2016
28,4,Stock Broker Opal Securities Investment Pvt. Limited,"30,023,249.80","38,977,013.30","69,000,263.10","409,366.00",10/2/2016
43,40,Creative Securities Pvt.Limited,"30,000,007.30","10,174,774.20","40,174,781.50","352,193.60",10/2/2016
15,41,Linch Stock Market Limited,"53,264,453.75","50,186,368.20","103,450,821.95","2,873,243.20",10/2/2016
4,42,Sani Securities Company Limited,"174,085,053.91","67,632,630.20","241,717,684.11","6,520,590.40",10/2/2016
41,43,South Asian Bulls Pvt.Limited,"21,649,866.50","21,073,262.70","42,723,129.20","389,659.00",10/2/2016
6,44,Dynamic Money Managers Securities Pvt.Ltd,"79,944,836.76","63,656,550.17","143,601,386.93","9,432,460.20",10/2/2016
2,45,Imperial Securities Co .Pvt.Limited,"120,127,140.80","206,641,166.96","326,768,307.76","7,566,546.40",10/2/2016
38,46,Kalika Securities Pvt.Limited,"20,468,766.30","29,036,725.13","49,505,491.43","599,320.00",10/2/2016
34,47,Neev Securities Pvt.Ltd,"40,440,382.50","18,072,762.60","58,513,145.10","40,844.00",10/2/2016
33,48,Trishakti Securities Public Limited,"30,286,122.75","31,550,586.17","61,836,708.92","590,411.60",10/2/2016
3,49,Online Securities Limited,"104,114,748.12","138,359,049.60","242,473,797.72","16,977,152.60",10/2/2016
45,5,Market Securities Exchange Company Pvt. Limited,"21,741,222.50","13,354,021.50","35,095,244.00","71,680.00",10/2/2016
